station_id,station_name,forecast_issued_utc,forecast_for_date,forecast_high_f,n_hours_in_forecast,forecast_issued_local
KNYC,New York Central Park,2026-04-14 17:07 UTC,2026-04-15,81,24,2026-04-14 13:07 EDT
KNYC,New York Central Park,2026-04-14 19:15 UTC,2026-04-15,84,24,2026-04-14 15:15 EDT
KNYC,New York Central Park,2026-04-14 20:54 UTC,2026-04-15,84,24,2026-04-14 16:54 EDT
KNYC,New York Central Park,2026-04-14 22:45 UTC,2026-04-15,84,24,2026-04-14 18:45 EDT
KNYC,New York Central Park,2026-04-15 06:01 UTC,2026-04-16,82,24,2026-04-15 02:01 EDT
KNYC,New York Central Park,2026-04-15 08:02 UTC,2026-04-16,81,24,2026-04-15 04:02 EDT
KNYC,New York Central Park,2026-04-15 11:03 UTC,2026-04-16,81,24,2026-04-15 07:03 EDT
KNYC,New York Central Park,2026-04-15 13:24 UTC,2026-04-16,81,24,2026-04-15 09:24 EDT
KNYC,New York Central Park,2026-04-15 15:06 UTC,2026-04-16,81,24,2026-04-15 11:06 EDT
KNYC,New York Central Park,2026-04-15 17:18 UTC,2026-04-16,81,24,2026-04-15 13:18 EDT
KNYC,New York Central Park,2026-04-15 19:35 UTC,2026-04-16,81,24,2026-04-15 15:35 EDT
KNYC,New York Central Park,2026-04-15 20:48 UTC,2026-04-16,81,24,2026-04-15 16:48 EDT
KNYC,New York Central Park,2026-04-15 22:41 UTC,2026-04-16,81,24,2026-04-15 18:41 EDT
KNYC,New York Central Park,2026-04-16 06:02 UTC,2026-04-17,75,24,2026-04-16 02:02 EDT
KNYC,New York Central Park,2026-04-16 09:30 UTC,2026-04-17,75,24,2026-04-16 05:30 EDT
KNYC,New York Central Park,2026-04-16 13:30 UTC,2026-04-17,75,24,2026-04-16 09:30 EDT
KNYC,New York Central Park,2026-04-16 15:27 UTC,2026-04-17,75,24,2026-04-16 11:27 EDT
KNYC,New York Central Park,2026-04-16 17:14 UTC,2026-04-17,75,24,2026-04-16 13:14 EDT
KNYC,New York Central Park,2026-04-16 19:13 UTC,2026-04-17,74,24,2026-04-16 15:13 EDT
KNYC,New York Central Park,2026-04-16 20:48 UTC,2026-04-17,74,24,2026-04-16 16:49 EDT
KNYC,New York Central Park,2026-04-16 22:40 UTC,2026-04-17,74,24,2026-04-16 18:40 EDT
KNYC,New York Central Park,2026-04-17 16:55 UTC,2026-04-18,62,24,2026-04-17 12:55 EDT
KNYC,New York Central Park,2026-04-17 19:00 UTC,2026-04-18,62,24,2026-04-17 15:01 EDT
KNYC,New York Central Park,2026-04-17 20:44 UTC,2026-04-18,62,24,2026-04-17 16:44 EDT
KNYC,New York Central Park,2026-04-17 22:39 UTC,2026-04-18,62,24,2026-04-17 18:39 EDT
KNYC,New York Central Park,2026-04-18 05:42 UTC,2026-04-19,55,24,2026-04-18 01:42 EDT
KNYC,New York Central Park,2026-04-18 07:08 UTC,2026-04-19,55,24,2026-04-18 03:08 EDT
KNYC,New York Central Park,2026-04-18 08:51 UTC,2026-04-19,55,24,2026-04-18 04:51 EDT
KNYC,New York Central Park,2026-04-18 13:02 UTC,2026-04-19,55,24,2026-04-18 09:02 EDT
KNYC,New York Central Park,2026-04-18 14:40 UTC,2026-04-19,55,24,2026-04-18 10:40 EDT
KNYC,New York Central Park,2026-04-18 16:41 UTC,2026-04-19,55,24,2026-04-18 12:41 EDT
KNYC,New York Central Park,2026-04-18 18:52 UTC,2026-04-19,55,24,2026-04-18 14:52 EDT
KNYC,New York Central Park,2026-04-18 20:37 UTC,2026-04-19,55,24,2026-04-18 16:37 EDT
KNYC,New York Central Park,2026-04-18 22:35 UTC,2026-04-19,55,24,2026-04-18 18:35 EDT
KNYC,New York Central Park,2026-04-19 05:58 UTC,2026-04-20,50,24,2026-04-19 01:58 EDT
KNYC,New York Central Park,2026-04-19 07:46 UTC,2026-04-20,48,24,2026-04-19 03:46 EDT
KNYC,New York Central Park,2026-04-19 09:12 UTC,2026-04-20,48,24,2026-04-19 05:12 EDT
KNYC,New York Central Park,2026-04-19 10:39 UTC,2026-04-20,48,24,2026-04-19 06:39 EDT
KNYC,New York Central Park,2026-04-19 13:01 UTC,2026-04-20,48,24,2026-04-19 09:01 EDT
KNYC,New York Central Park,2026-04-19 14:40 UTC,2026-04-20,48,24,2026-04-19 10:40 EDT
KNYC,New York Central Park,2026-04-19 16:40 UTC,2026-04-20,48,24,2026-04-19 12:40 EDT
KNYC,New York Central Park,2026-04-19 18:51 UTC,2026-04-20,54,24,2026-04-19 14:51 EDT
KNYC,New York Central Park,2026-04-19 20:38 UTC,2026-04-20,54,24,2026-04-19 16:38 EDT
KNYC,New York Central Park,2026-04-19 22:36 UTC,2026-04-20,54,24,2026-04-19 18:36 EDT
KNYC,New York Central Park,2026-04-20 06:14 UTC,2026-04-21,54,24,2026-04-20 02:14 EDT
KNYC,New York Central Park,2026-04-20 09:58 UTC,2026-04-21,50,24,2026-04-20 05:59 EDT
KNYC,New York Central Park,2026-04-20 11:24 UTC,2026-04-21,50,24,2026-04-20 07:24 EDT
KNYC,New York Central Park,2026-04-20 13:29 UTC,2026-04-21,50,24,2026-04-20 09:29 EDT
KNYC,New York Central Park,2026-04-20 15:17 UTC,2026-04-21,50,24,2026-04-20 11:17 EDT
KNYC,New York Central Park,2026-04-20 17:04 UTC,2026-04-21,50,24,2026-04-20 13:04 EDT
KNYC,New York Central Park,2026-04-20 19:09 UTC,2026-04-21,53,24,2026-04-20 15:09 EDT
KNYC,New York Central Park,2026-04-20 20:45 UTC,2026-04-21,53,24,2026-04-20 16:45 EDT
KNYC,New York Central Park,2026-04-20 22:43 UTC,2026-04-21,53,24,2026-04-20 18:43 EDT
KNYC,New York Central Park,2026-04-21 06:03 UTC,2026-04-22,61,24,2026-04-21 02:03 EDT
KNYC,New York Central Park,2026-04-21 09:28 UTC,2026-04-22,55,24,2026-04-21 05:28 EDT
KNYC,New York Central Park,2026-04-21 11:07 UTC,2026-04-22,55,24,2026-04-21 07:07 EDT
KNYC,New York Central Park,2026-04-21 13:26 UTC,2026-04-22,55,24,2026-04-21 09:26 EDT
KNYC,New York Central Park,2026-04-21 15:13 UTC,2026-04-22,55,24,2026-04-21 11:13 EDT
KNYC,New York Central Park,2026-04-21 17:07 UTC,2026-04-22,55,24,2026-04-21 13:07 EDT
KNYC,New York Central Park,2026-04-21 19:11 UTC,2026-04-22,55,24,2026-04-21 15:11 EDT
KNYC,New York Central Park,2026-04-21 20:53 UTC,2026-04-22,55,24,2026-04-21 16:53 EDT
KNYC,New York Central Park,2026-04-21 22:39 UTC,2026-04-22,55,24,2026-04-21 18:39 EDT
KNYC,New York Central Park,2026-04-22 06:00 UTC,2026-04-23,67,24,2026-04-22 02:00 EDT
KNYC,New York Central Park,2026-04-22 08:04 UTC,2026-04-23,66,24,2026-04-22 04:04 EDT
KNYC,New York Central Park,2026-04-22 11:05 UTC,2026-04-23,66,24,2026-04-22 07:05 EDT
KNYC,New York Central Park,2026-04-22 13:26 UTC,2026-04-23,66,24,2026-04-22 09:26 EDT
KNYC,New York Central Park,2026-04-22 15:14 UTC,2026-04-23,66,24,2026-04-22 11:14 EDT
KNYC,New York Central Park,2026-04-22 17:01 UTC,2026-04-23,66,24,2026-04-22 13:01 EDT
KNYC,New York Central Park,2026-04-22 19:22 UTC,2026-04-23,68,24,2026-04-22 15:22 EDT
KNYC,New York Central Park,2026-04-22 20:55 UTC,2026-04-23,68,24,2026-04-22 16:55 EDT
KNYC,New York Central Park,2026-04-22 22:47 UTC,2026-04-23,68,24,2026-04-22 18:47 EDT
KNYC,New York Central Park,2026-04-23 06:06 UTC,2026-04-24,60,24,2026-04-23 02:06 EDT
KNYC,New York Central Park,2026-04-23 09:29 UTC,2026-04-24,61,24,2026-04-23 05:29 EDT
KNYC,New York Central Park,2026-04-23 11:08 UTC,2026-04-24,61,24,2026-04-23 07:08 EDT
KNYC,New York Central Park,2026-04-23 13:28 UTC,2026-04-24,61,24,2026-04-23 09:28 EDT
KNYC,New York Central Park,2026-04-23 15:57 UTC,2026-04-24,61,24,2026-04-23 11:57 EDT
KNYC,New York Central Park,2026-04-23 17:21 UTC,2026-04-24,61,24,2026-04-23 13:21 EDT
KNYC,New York Central Park,2026-04-23 19:11 UTC,2026-04-24,62,24,2026-04-23 15:11 EDT
KNYC,New York Central Park,2026-04-23 20:53 UTC,2026-04-24,62,24,2026-04-23 16:53 EDT
KNYC,New York Central Park,2026-04-23 22:44 UTC,2026-04-24,62,24,2026-04-23 18:44 EDT
KNYC,New York Central Park,2026-04-24 06:09 UTC,2026-04-25,55,24,2026-04-24 02:09 EDT
KNYC,New York Central Park,2026-04-24 09:46 UTC,2026-04-25,54,24,2026-04-24 05:46 EDT
KNYC,New York Central Park,2026-04-24 11:07 UTC,2026-04-25,54,24,2026-04-24 07:07 EDT
KNYC,New York Central Park,2026-04-24 13:23 UTC,2026-04-25,54,24,2026-04-24 09:23 EDT
KNYC,New York Central Park,2026-04-24 15:08 UTC,2026-04-25,54,24,2026-04-24 11:08 EDT
KNYC,New York Central Park,2026-04-24 16:57 UTC,2026-04-25,54,24,2026-04-24 12:57 EDT
KNYC,New York Central Park,2026-04-24 18:52 UTC,2026-04-25,54,24,2026-04-24 14:52 EDT
KNYC,New York Central Park,2026-04-24 20:48 UTC,2026-04-25,52,24,2026-04-24 16:48 EDT
KNYC,New York Central Park,2026-04-24 22:39 UTC,2026-04-25,52,24,2026-04-24 18:39 EDT
KNYC,New York Central Park,2026-04-25 05:49 UTC,2026-04-26,50,24,2026-04-25 01:49 EDT
KNYC,New York Central Park,2026-04-25 07:17 UTC,2026-04-26,50,24,2026-04-25 03:17 EDT
