station_id,station_name,date,observed_high_f
KSAT,San Antonio International,2025-08-16,98
KSAT,San Antonio International,2025-08-17,101
KSAT,San Antonio International,2025-08-18,101
KSAT,San Antonio International,2025-08-19,98
KSAT,San Antonio International,2025-08-20,99
KSAT,San Antonio International,2025-08-21,90
KSAT,San Antonio International,2025-08-22,98
KSAT,San Antonio International,2025-08-23,96
KSAT,San Antonio International,2025-08-24,99
KSAT,San Antonio International,2025-08-25,98
KSAT,San Antonio International,2025-08-26,96
KSAT,San Antonio International,2025-08-27,98
KSAT,San Antonio International,2025-08-28,101
KSAT,San Antonio International,2025-08-29,102
KSAT,San Antonio International,2025-08-30,100
KSAT,San Antonio International,2025-08-31,96
KSAT,San Antonio International,2025-09-01,90
KSAT,San Antonio International,2025-09-02,97
KSAT,San Antonio International,2025-09-03,98
KSAT,San Antonio International,2025-09-04,100
KSAT,San Antonio International,2025-09-05,97
KSAT,San Antonio International,2025-09-06,89
KSAT,San Antonio International,2025-09-07,78
KSAT,San Antonio International,2025-09-08,87
KSAT,San Antonio International,2025-09-09,90
KSAT,San Antonio International,2025-09-10,92
KSAT,San Antonio International,2025-09-11,93
KSAT,San Antonio International,2025-09-12,94
KSAT,San Antonio International,2025-09-13,93
KSAT,San Antonio International,2025-09-14,93
KSAT,San Antonio International,2025-09-15,92
KSAT,San Antonio International,2025-09-16,92
KSAT,San Antonio International,2025-09-17,92
KSAT,San Antonio International,2025-09-18,92
KSAT,San Antonio International,2025-09-19,93
KSAT,San Antonio International,2025-09-20,93
KSAT,San Antonio International,2025-09-21,94
KSAT,San Antonio International,2025-09-22,95
KSAT,San Antonio International,2025-09-23,97
KSAT,San Antonio International,2025-09-24,93
KSAT,San Antonio International,2025-09-25,92
KSAT,San Antonio International,2025-09-26,91
KSAT,San Antonio International,2025-09-27,92
KSAT,San Antonio International,2025-09-28,91
KSAT,San Antonio International,2025-09-29,87
KSAT,San Antonio International,2025-09-30,92
KSAT,San Antonio International,2025-10-01,93
KSAT,San Antonio International,2025-10-02,93
KSAT,San Antonio International,2025-10-03,93
KSAT,San Antonio International,2025-10-04,90
KSAT,San Antonio International,2025-10-05,91
KSAT,San Antonio International,2025-10-06,92
KSAT,San Antonio International,2025-10-07,93
KSAT,San Antonio International,2025-10-08,94
KSAT,San Antonio International,2025-10-09,93
KSAT,San Antonio International,2025-10-10,92
KSAT,San Antonio International,2025-10-11,92
KSAT,San Antonio International,2025-10-12,90
KSAT,San Antonio International,2025-10-13,90
KSAT,San Antonio International,2025-10-14,88
KSAT,San Antonio International,2025-10-15,91
KSAT,San Antonio International,2025-10-16,87
KSAT,San Antonio International,2025-10-17,91
KSAT,San Antonio International,2025-10-18,93
KSAT,San Antonio International,2025-10-19,88
KSAT,San Antonio International,2025-10-20,93
KSAT,San Antonio International,2025-10-21,90
KSAT,San Antonio International,2025-10-22,88
KSAT,San Antonio International,2025-10-23,90
KSAT,San Antonio International,2025-10-24,90
KSAT,San Antonio International,2025-10-25,82
KSAT,San Antonio International,2025-10-26,87
KSAT,San Antonio International,2025-10-27,88
KSAT,San Antonio International,2025-10-28,91
KSAT,San Antonio International,2025-10-29,69
KSAT,San Antonio International,2025-10-30,73
KSAT,San Antonio International,2025-10-31,75
KSAT,San Antonio International,2025-11-01,76
KSAT,San Antonio International,2025-11-02,74
KSAT,San Antonio International,2025-11-03,77
KSAT,San Antonio International,2025-11-04,79
KSAT,San Antonio International,2025-11-05,83
KSAT,San Antonio International,2025-11-06,83
KSAT,San Antonio International,2025-11-07,89
KSAT,San Antonio International,2025-11-08,89
KSAT,San Antonio International,2025-11-09,74
KSAT,San Antonio International,2025-11-10,65
KSAT,San Antonio International,2025-11-11,73
KSAT,San Antonio International,2025-11-12,82
KSAT,San Antonio International,2025-11-13,84
KSAT,San Antonio International,2025-11-14,84
KSAT,San Antonio International,2025-11-15,84
KSAT,San Antonio International,2025-11-16,85
KSAT,San Antonio International,2025-11-17,87
KSAT,San Antonio International,2025-11-18,85
KSAT,San Antonio International,2025-11-19,85
KSAT,San Antonio International,2025-11-20,86
KSAT,San Antonio International,2025-11-21,76
KSAT,San Antonio International,2025-11-22,79
KSAT,San Antonio International,2025-11-23,68
KSAT,San Antonio International,2025-11-24,74
KSAT,San Antonio International,2025-11-25,84
KSAT,San Antonio International,2025-11-26,69
KSAT,San Antonio International,2025-11-27,64
KSAT,San Antonio International,2025-11-28,67
KSAT,San Antonio International,2025-11-29,78
KSAT,San Antonio International,2025-11-30,64
KSAT,San Antonio International,2025-12-01,50
KSAT,San Antonio International,2025-12-02,56
KSAT,San Antonio International,2025-12-03,58
KSAT,San Antonio International,2025-12-04,57
KSAT,San Antonio International,2025-12-05,55
KSAT,San Antonio International,2025-12-06,78
KSAT,San Antonio International,2025-12-07,80
KSAT,San Antonio International,2025-12-08,66
KSAT,San Antonio International,2025-12-09,67
KSAT,San Antonio International,2025-12-10,75
KSAT,San Antonio International,2025-12-11,70
KSAT,San Antonio International,2025-12-12,75
KSAT,San Antonio International,2025-12-13,77
KSAT,San Antonio International,2025-12-14,65
KSAT,San Antonio International,2025-12-15,58
KSAT,San Antonio International,2025-12-16,60
KSAT,San Antonio International,2025-12-17,66
KSAT,San Antonio International,2025-12-18,80
KSAT,San Antonio International,2025-12-19,69
KSAT,San Antonio International,2025-12-20,72
KSAT,San Antonio International,2025-12-21,76
KSAT,San Antonio International,2025-12-22,79
KSAT,San Antonio International,2025-12-23,80
KSAT,San Antonio International,2025-12-24,79
KSAT,San Antonio International,2025-12-25,79
KSAT,San Antonio International,2025-12-26,81
KSAT,San Antonio International,2025-12-27,80
KSAT,San Antonio International,2025-12-28,77
KSAT,San Antonio International,2025-12-29,56
KSAT,San Antonio International,2025-12-30,61
KSAT,San Antonio International,2025-12-31,69
KSAT,San Antonio International,2026-01-01,74
KSAT,San Antonio International,2026-01-02,89
KSAT,San Antonio International,2026-01-03,79
KSAT,San Antonio International,2026-01-04,71
KSAT,San Antonio International,2026-01-05,74
KSAT,San Antonio International,2026-01-06,83
KSAT,San Antonio International,2026-01-07,81
KSAT,San Antonio International,2026-01-08,76
KSAT,San Antonio International,2026-01-09,73
KSAT,San Antonio International,2026-01-10,64
KSAT,San Antonio International,2026-01-11,62
KSAT,San Antonio International,2026-01-12,62
KSAT,San Antonio International,2026-01-13,62
KSAT,San Antonio International,2026-01-14,73
KSAT,San Antonio International,2026-01-15,67
KSAT,San Antonio International,2026-01-16,74
KSAT,San Antonio International,2026-01-17,57
KSAT,San Antonio International,2026-01-18,62
KSAT,San Antonio International,2026-01-19,68
KSAT,San Antonio International,2026-01-20,60
KSAT,San Antonio International,2026-01-21,71
KSAT,San Antonio International,2026-01-22,73
KSAT,San Antonio International,2026-01-23,68
KSAT,San Antonio International,2026-01-24,53
KSAT,San Antonio International,2026-01-25,32
KSAT,San Antonio International,2026-01-26,40
KSAT,San Antonio International,2026-01-27,49
KSAT,San Antonio International,2026-01-28,63
KSAT,San Antonio International,2026-01-29,70
KSAT,San Antonio International,2026-01-30,57
KSAT,San Antonio International,2026-01-31,51
KSAT,San Antonio International,2026-02-01,55
KSAT,San Antonio International,2026-02-02,69
KSAT,San Antonio International,2026-02-03,71
KSAT,San Antonio International,2026-02-04,69
KSAT,San Antonio International,2026-02-05,70
KSAT,San Antonio International,2026-02-06,82
KSAT,San Antonio International,2026-02-07,83
KSAT,San Antonio International,2026-02-08,80
KSAT,San Antonio International,2026-02-09,83
KSAT,San Antonio International,2026-02-10,68
KSAT,San Antonio International,2026-02-11,77
KSAT,San Antonio International,2026-02-12,78
KSAT,San Antonio International,2026-02-13,79
KSAT,San Antonio International,2026-02-14,77
KSAT,San Antonio International,2026-02-15,77
KSAT,San Antonio International,2026-02-16,78
KSAT,San Antonio International,2026-02-17,85
KSAT,San Antonio International,2026-02-18,76
KSAT,San Antonio International,2026-02-19,86
KSAT,San Antonio International,2026-02-20,74
KSAT,San Antonio International,2026-02-21,76
KSAT,San Antonio International,2026-02-22,66
KSAT,San Antonio International,2026-02-23,66
